Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
A complex request will take several steps and the requester wants to be sure it was understood. What is the cheapest safeguard?,multiple-choice,"Ask for the work to be produced in stages, so each stage can be checked as it arrives.",,"Ask for the assumptions to be listed at the end, alongside the completed output.",,Ask for the task to be restated in its own terms before any work begins.,,"Ask for the request to be broken into sub-tasks, which are then confirmed individually.",,,,,,3,"A restatement costs one short exchange and surfaces a misreading before any effort is spent on it. Staged production and sub-task confirmation both achieve something similar at greater cost, and listing assumptions after the fact reveals the misunderstanding only once the work has already been done on the wrong basis.",D1 Prompting & Task Execution
"An output must fit within a hard limit, such as a single page or a field of fixed size. How is that best expressed?",multiple-choice,"As a specific count the output must not exceed, stated as a requirement.",,As an instruction to keep the output as short as the material will reasonably allow.,,"As a check performed afterwards, with the output shortened if it exceeds the limit.",,"As a description of the medium, so the constraint can be inferred from the context.",,,,,,1,"A hard constraint has a number behind it, and stating that number is what makes the requirement checkable and the output usable first time. Describing the medium relies on an inference about page size or field capacity, generic brevity has no target, and trimming afterwards means the model chose what to cut without knowing it had to.",D1 Prompting & Task Execution
The same analysis is needed as a one-paragraph summary and as a detailed report. What is the efficient approach?,multiple-choice,"Produce them independently, so that neither is constrained by the other's framing.",,"Produce the detailed version first, then derive the summary from it.",,"Produce the summary first, then expand it into the detailed version.",,"Produce both in one request, so that the two are guaranteed to be consistent.",,,,,,2,"Summarizing established content is a reliable transformation; expanding a summary requires inventing the detail that was never there, and the two versions then diverge on substance. Producing both at once is workable and gives the summary less to draw on. Independent production risks two accounts that disagree.",D1 Prompting & Task Execution
A team has a written style guide. How should it be brought into a drafting prompt?,multiple-choice,"Reference it by name, since it is a document the organization already maintains.",,"Summarize its main rules, so the prompt stays short enough to remain workable.",,"Supply an example that conforms to it, from which the rules can be inferred.",,"Supply the guide itself, rather than a description of what it says.",,,,,,4,"The guide is the specification, and a summary of it is a lossy restatement made by whoever wrote the prompt. Supplying the actual text removes that layer. An example demonstrates the result without stating the rules, and naming a document the model cannot open supplies nothing at all.",D1 Prompting & Task Execution
A prompt includes several paragraphs of organizational background that do not bear on the task. What is the effect?,multiple-choice,It competes for attention with the material that actually matters.,,It makes the prompt more expensive to run each time it is used.,,It makes the prompt harder for a colleague to maintain over time.,,It causes the output to reference the background inappropriately.,,,,,,1,"Context is only valuable when it changes what a good answer looks like. Irrelevant background dilutes the instruction and the source material, which is why trimming a prompt often improves it. Cost and maintainability are real and minor by comparison, and inappropriate references are one symptom of the underlying dilution.",D1 Prompting & Task Execution
A source document is longer than can usefully be processed in one request. What is the sound approach?,multiple-choice,"Split it into equal parts by length, so each request handles a similar volume.",,"Supply the sections most likely to be relevant, and omit the remainder of it.",,"Split it on its own structure, and combine the results in a further step.",,"Supply a summary of the document instead, which fits within a single request.",,,,,,3,"Splitting along sections, chapters or records keeps each piece coherent, which is what makes the partial results meaningful and combinable. Equal-length splits cut through the middle of arguments and tables. A summary loses the detail the task presumably needed, and guessing at relevance before reading is how material gets missed.",D1 Prompting & Task Execution
An output is largely right and one section is wrong. What is the efficient next move?,multiple-choice,"Ask for the section to be improved, without specifying what the problem is.",,"Correct that section by hand, since the rest of the output is already usable.",,"Ask for that section to be redone, stating what is wrong with it.",,Ask for the whole output to be produced again with the correction included.,,,,,,3,"Targeting the failing part preserves what already works and keeps the correction specific, which is both faster and less likely to introduce new problems. Regenerating everything risks changing sections that were fine. Manual correction is reasonable for a small fix and gives up the chance to learn what the prompt was missing.",D1 Prompting & Task Execution
A comparison is requested and the output compares the wrong things. What was missing from the prompt?,multiple-choice,The relative importance of each item being compared against the others.,,The format in which the comparison was expected to be presented.,,The dimensions on which the comparison was meant to be made.,,The conclusion the comparison was intended to support for the reader.,,,,,,3,"A comparison is only defined once the axes are named: cost, risk, time, fit, whatever the decision turns on. Without them the model selects dimensions that seem salient, which is where the mismatch comes from. Weighting and format both presuppose that the dimensions have already been settled.",D1 Prompting & Task Execution
"A prompt instructed that a category be excluded, and the output looks complete. What must be checked?",multiple-choice,"That the exclusion was actually applied, which the output will not indicate.",,"That the excluded material is recorded, so the omission can be explained later.",,"That the exclusion was reasonable, given what the output is intended to support.",,That the remaining material is sufficient once the exclusion has been applied.,,,,,,1,"An unapplied exclusion leaves no trace: the output reads as a complete, correct treatment that happens to include material that should not be there. Checking directly against the exclusion criterion is the only way to establish it was honoured. Sufficiency and record-keeping matter once the instruction is known to have been followed.",D2 Output Evaluation & Validation
An output presents a sequence of events drawn from several documents. Which check is specific to this shape?,multiple-choice,"That the order is right, since each event may be correct while the sequence is not.",,That each event is attributed to the document it was taken from originally.,,That no event has been omitted from the sequence that was reconstructed.,,That the dates are expressed in a consistent format throughout the output.,,,,,,1,"Assembling a chronology from multiple sources is where ordering errors enter, and every individual event can be accurately reported while the narrative they form is wrong. Order is therefore its own check. Omission and attribution are also worth verifying, and neither catches two correctly stated events in the wrong sequence.",D2 Output Evaluation & Validation
An output attributes a position to a named person or organization. What is the specific risk?,multiple-choice,A position summarized in a way that loses the qualifications it carried.,,"A plausible position attached to the wrong party, which reads entirely naturally.",,A position stated more strongly than the source expressed it originally.,,"A position that is now out of date, having been superseded since it was stated.",,,,,,2,"Misattribution is fluent by construction: the position is real and the name is real, and only checking the source reveals they do not belong together. It is also consequential, since it puts words in an identifiable party's mouth. Overstatement, staleness and lost qualification are related failures of lower specificity to this shape.",D2 Output Evaluation & Validation
A generated table has columns whose meaning is not defined. What follows?,multiple-choice,The table may not match the format the downstream process expects.,,The table's column order may differ from run to run on the same input.,,"The table is harder to read, which slows down the review that follows.",,"The values cannot be validated, since what they should contain is unstated.",,,,,,4,"Validation is a comparison against a definition, and where the column has none the reviewer is inferring the intent from the values they are meant to be checking. Defining the columns in the prompt is what makes the output checkable at all. Readability and format stability are consequences of the same omission.",D2 Output Evaluation & Validation
Two reviewers reach different conclusions about whether an output is acceptable. What should happen?,multiple-choice,"Regenerate the output, since a disputed one should not be relied on in any case.",,"Accept the more cautious of the two conclusions, since the risk falls on the user.",,"Refer the decision to a third reviewer, whose view resolves the disagreement.",,"Identify the specific claim they differ on and settle that, rather than the verdict.",,,,,,4,"A disagreement about an overall verdict almost always reduces to a disagreement about something specific, and locating it converts an unresolvable difference of impression into a checkable question. Defaulting to caution, adding a third opinion, or regenerating all bypass the information the disagreement contains.",D2 Output Evaluation & Validation
A review has been carried out. What should be recorded about it?,multiple-choice,"The time it took, so the cost of reviewing can be measured over the period.",,"What was checked and what was not, so a later reader knows the coverage.",,"That the review took place, together with the name of the person who did it.",,"The errors that were found, so that recurring problems can be identified.",,,,,,2,"The dangerous assumption downstream is that a reviewed output was fully reviewed. Recording the scope tells a later reader what the review actually establishes, which is what determines how much weight the output can carry. Attribution, error logs and effort data are all useful and none of them communicates coverage.",D2 Output Evaluation & Validation
When should the criteria for accepting an output be decided?,multiple-choice,"Before it is generated, so the standard is not set by what arrives.",,"During review, when the specific weaknesses of the output are visible.",,"After several outputs, once a typical standard has been established.",,"After it is generated, when what is achievable has become apparent.",,,,,,1,"Criteria set after seeing the output are anchored by it, and the standard quietly becomes whatever was produced. Deciding in advance is what keeps acceptance a genuine test. It also improves the prompt, since articulating what a good output must contain usually reveals that the prompt never asked for it.",D2 Output Evaluation & Validation
An output must comply with an external standard. How should that be checked?,multiple-choice,By asking Claude to confirm the output meets the standard's requirements.,,By a reviewer familiar with the standard reading it through carefully.,,By comparison with previous outputs that were accepted as compliant.,,"Clause by clause against the standard, rather than by overall impression.",,,,,,4,"Compliance is a conjunction of specific requirements, and fluent output that reads as professional will satisfy most of them while missing one. Working through the clauses is the only method that establishes each is met. Precedent propagates whatever the earlier outputs got wrong, and self-confirmation routes through the process being checked.",D2 Output Evaluation & Validation
An output states something the source implies but does not say. How should that be treated?,multiple-choice,"As acceptable, provided the inference follows reasonably from the material.",,"As a gap in the source, which should be filled before the output is used.",,"As an error, since the output should contain only what the source states.",,"As an inference to be verified separately, not as a fact from the source.",,,,,,4,"Inference is often exactly what was wanted, and the failure is presenting it with the same standing as a sourced fact, so a reader cannot tell which is which. Separating the two is what preserves that distinction. Treating all inference as error would make most analysis impossible, and the source is not necessarily deficient.",D2 Output Evaluation & Validation
A source document is itself known to be unreliable. What does that mean for validating the output?,multiple-choice,"The output should carry a caveat, which transfers the uncertainty to the reader.",,"Grounding can be established but correctness cannot, and the output inherits the doubt.",,"The output should be checked more thoroughly, since the risk of error is higher.",,"The output cannot be validated at all, so it should not be produced from this source.",,,,,,2,"Faithfulness to the source and truth of the content are separate properties, and where the source is doubtful only the first can be checked. Being clear about which has been established is what keeps the output honest. A caveat is part of the response and does not by itself discharge the obligation to say what was verified.",D2 Output Evaluation & Validation
An output translated into another language must be relied on. What does validation require?,multiple-choice,"Someone fluent in both, checking meaning rather than only wording.",,A reviewer fluent in the target language reading it for naturalness.,,"A back-translation into the original language, compared with the source.",,"A comparison of the two versions for structure, length and formatting.",,,,,,1,"Translation errors that matter are errors of meaning, including register and legal effect, and detecting them requires competence in both languages against the original. Back-translation is a useful signal that can mask compensating errors, and target-language fluency alone cannot reveal a departure from a source the reviewer cannot read.",D2 Output Evaluation & Validation
A generated list is meant to contain distinct items and some overlap substantially. Why does this matter?,multiple-choice,It suggests the underlying material was not fully understood when generated.,,"It makes the list longer than necessary, which wastes the reader's time.",,"It makes the list harder to act on, since the items cannot be handled separately.",,"It misrepresents how much distinct material there is, which affects any count.",,,,,,4,"Near-duplicates inflate the apparent coverage, and any decision resting on the number of distinct findings, options or risks is then based on a number that is wrong. Length and actionability are consequences. Whether it indicates a misunderstanding is speculation about the cause rather than a statement of the effect.",D2 Output Evaluation & Validation
"An output's emphasis differs from the source's, though every fact is accurate. Which dimension does this concern?",multiple-choice,"Completeness, since the emphasis suggests material has been left out.",,"Faithfulness to the source, which covers proportion as well as content.",,"Relevance, since the output emphasizes what the reader did not ask about.",,"Accuracy, since the output does not represent the source as it stands.",,,,,,2,"Representing a source means representing its weight as well as its claims: a caveat given a sentence in the original and a paragraph in the summary changes what the source said. This sits within faithfulness rather than accuracy, and it is a distinct check from confirming each individual statement appears.",D2 Output Evaluation & Validation
A team's usage is repeatedly hitting the capacity limits of their plan mid-task. What is the sound response?,multiple-choice,"Spread the work across the day, so the limits are reached less frequently.",,Establish what is consuming the capacity before deciding to buy more.,,"Move to a higher plan, since the limits are constraining the work being done.",,"Move the heaviest work to a cheaper model tier, which consumes less capacity.",,,,,,2,"Hitting a limit is a measurement opportunity: it is usually a small number of tasks, often ones that should have been on a different tier or should not be resent in full each time. Buying capacity without knowing that just raises the ceiling on the same waste. Scheduling and tier changes may well be the answer once the consumption is understood.",D3 Product & Model Selection
