Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Response,Overall Explanation,Domain
A team runs the same kind of request weekly against an unchanging set of reference documents. Which feature fits?,multi-choice,A new chat each week with the documents re-attached.,,A Project holding the standing rules and the documents.,,Research mode pointed at the wider public web each week.,,An artifact storing the documents for manual reference.,,,,,,2,"Recurring work with stable instructions and a stable document set is what Projects exist for — both persist across chats automatically. Re-attaching is error-prone, web research ignores the authoritative documents, and an artifact is a deliverable rather than a setup.",D3 Product & Model Selection
"Which task profile points to the fastest, lowest-cost model?",multi-choice,Weighing contradictory evidence to reach a judgment call.,,Everyday drafting and summarizing work at a moderate volume.,,Sorting a very large volume of short items by simple rules.,,Producing a nuanced analysis of an ambiguous situation.,,,,,,3,"High volume plus simple, unambiguous rules is the profile the cheapest and fastest model is built for. Moderate general-purpose work sits with the mid-tier model, and weighing contradictory evidence or handling ambiguity is where the most capable model earns its cost.",D3 Product & Model Selection
"Late in a long thread, Claude starts contradicting decisions agreed earlier. What is happening?",multi-choice,The model has degraded over the course of the session.,,Earlier turns have fallen outside the usable context.,,The prompts have become inconsistently worded over time.,,The conversation has too many contributors involved.,,,,,,2,"Drift late in a long conversation is the signature of the context limit: the earliest turns are no longer effectively available. Models do not degrade within a session, and neither phrasing nor the number of contributors causes this pattern.",D3 Product & Model Selection
"Which is the correct way to carry a long, drifting conversation forward?",multi-choice,Paste the entire prior transcript into a newly opened chat.,,Ask Claude to reread everything before each answer.,,Continue in place and re-explain points as they slip.,,Open a fresh chat with a summary of what still matters.,,,,,,4,"A curated summary carries the decisions and constraints that still matter without reproducing the bulk that caused the problem. Pasting the transcript recreates it immediately, and rereading or re-explaining cannot recover text outside the window.",D3 Product & Model Selection
An answer must be traceable to many external sources. Which feature is designed for that?,multi-choice,"Research mode, which investigates and returns citations.",,A Project preloaded with the team's internal procedures.,,A single chat question answered from general knowledge.,,An artifact drafted as the finished deliverable directly.,,,,,,1,"Breadth across many sources with traceable citations is precisely what research mode provides. Internal documents lack external breadth, a plain chat answer lacks sourcing, and drafting the deliverable first skips the investigation altogether.",D3 Product & Model Selection
What is wrong with a policy of always selecting the most capable model?,multi-choice,The most capable model handles simple tasks less accurately.,,The most capable model cannot process any high volumes at all.,,It buys cost and latency where no quality gain is available.,,"Nothing is wrong, since higher capability is always safer.",,,,,,3,"Above the difficulty a task actually presents, extra capability adds cost and latency without adding usable quality. The top model is not less accurate on easy work and is not incapable of volume — it is simply unnecessary, which is what makes the blanket policy wrong.",D3 Product & Model Selection
"A team must choose between a Project and research mode for answering recurring questions that are fully settled by four internal policy documents. Which fits, and why?",multi-choice,"Research mode, since it returns citations for every claim.",,"A Project, since the authoritative sources are already known.",,"Research mode, since the questions recur and vary in wording.",,"Either one, since both are able to read the uploaded documents.",,,,,,2,"When the authoritative answer already sits in known internal documents, a Project grounds every chat on them automatically. Research mode is for breadth across sources you have not got — pointing it outward here risks answers that contradict the team's own policy.",D3 Product & Model Selection
"A workload has 300,000 short items, simple labelling rules, tight cost limits, and downstream checks that catch stray errors. Which model, and on what grounds?",multi-choice,"The most capable, because the volume magnifies any error.",,"The mid-tier, because it is the safe general-purpose choice.",,"The cheapest and fastest, because volume and cost dominate.",,Whichever model the team already uses for other work.,,,,,,3,"The hardest requirement here is throughput under cost pressure, not reasoning depth, so the cheapest and fastest model is the match. Volume is an argument for a cheaper model; defaulting to the mid-tier or to habit ignores the requirement that actually binds.",D3 Product & Model Selection
Which single task most justifies paying for the most capable model?,multi-choice,Converting a very long list of stored records into a fixed layout.,,Reconciling conflicting reports into a defensible conclusion.,,Extracting dates from thousands of identical form letters.,,Rewriting a paragraph into a slightly more formal register.,,,,,,2,"Weighing contradictory evidence toward a conclusion that must withstand challenge is genuinely hard multi-step reasoning. Reformatting, bulk extraction from uniform inputs, and register changes are mechanical, and a smaller model handles them at a fraction of the cost.",D3 Product & Model Selection
A six-page standard operating procedure will be revised over two weeks and circulated to three teams. Where should it live?,multi-choice,"In an artifact, which is built to be revised and shared.",,"In a sequence of chat messages, one for each section.",,"In the Project instructions, so it applies everywhere.",,In a research-mode transcript kept permanently for the record.,,,,,,1,"Substantial deliverables that get iterated on, kept and shared belong in artifacts. Chat fragments cannot be revised coherently, Project instructions are standing rules rather than documents, and a research transcript is a working record, not a deliverable.",D3 Product & Model Selection
