Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
Where does a rule that every output must cite its policy section belong?,multiple-choice,"In the Project instructions, applying to all chats.",,"In each chat message, restated as the need arises.",,In a knowledge file uploaded alongside the policies.,,In an artifact the team consults before writing.,,,,,,1,"A rule meant to shape every response is a standing instruction. Restating it per chat makes it inconsistent, a knowledge file is a source to read rather than a rule to obey, and an artifact is a deliverable that Claude is not bound by.",D5 Configuration & Knowledge Management
"A Project instruction reads ""be helpful and thorough."" Why is this ineffective?",multiple-choice,It is far too short to register as a real instruction.,,It should be repeated in each chat to take effect.,,It sets no testable constraint the output can meet.,,It conflicts with the uploaded knowledge documents.,,,,,,3,"An instruction that cannot be violated cannot be followed. With nothing testable stated, each user supplies their own standard and outputs diverge. Length, repetition and document conflicts are not what makes this one fail.",D5 Configuration & Knowledge Management
A Project keeps answering from a document that was superseded last quarter. What is the root fix?,multiple-choice,Instruct Claude to prefer the most recent revision.,,Ask users to correct the version in each response.,,Start a fresh chat whenever the error appears again.,,Replace the superseded file with the current one.,,,,,,4,"The Project is grounding answers correctly on knowledge that is wrong, so the knowledge is what must change. Instructing around the file, correcting outputs by hand and restarting chats all leave the stale source in place to be used again.",D5 Configuration & Knowledge Management
Which approach to enabling connectors reflects good practice?,multiple-choice,Enable all of them so context is never missing.,,Enable only what the work needs and policy allows.,,"Enable all, and instruct Claude to avoid sensitive data.",,"Enable none, and paste the needed content into chats.",,,,,,2,"Connector selection is an access decision, so grant the least the work requires within policy. Blanket enablement widens exposure, an instruction is not an access control, and pasting sensitive content into chats moves the exposure rather than removing it.",D5 Configuration & Knowledge Management
A Project has run for a year with no review of its setup. What is the actual risk?,multiple-choice,It will simply refuse to answer until it has been refreshed.,,It will gradually become slower as knowledge accumulates.,,It answers confidently from material that is out of date.,,There is no risk while no user has reported a problem.,,,,,,3,"The danger is silent: procedures and documents move on, and the Project keeps producing confident answers grounded in superseded material. It does not stop working or slow down, and an absence of complaints is not evidence that the knowledge is current.",D5 Configuration & Knowledge Management
A team member needs one unusual analysis unrelated to the Project's standing work. Where does it go?,multiple-choice,"Into the instructions, so the request is preserved.",,Into a brand new Project created just for this request.,,"Into knowledge, uploaded as a supporting document.",,"Into the chat, as a request inside the same Project.",,,,,,4,"One-off requests belong in the chat. Adding them to instructions lets one situation shape every future response, uploading them as knowledge treats them as a reference for unrelated questions, and a new Project adds configuration nobody will maintain.",D5 Configuration & Knowledge Management
A Project's instructions and one of its knowledge documents give conflicting guidance on the same point. What is the right resolution?,multiple-choice,Leave both in place and let Claude resolve it case by case.,,Decide which is authoritative and correct the other.,,Add a further instruction telling Claude which wins.,,Remove all instructions and rely on the documents.,,,,,,2,"Two sources of truth in one Project produce unpredictable answers. Deciding which is authoritative and fixing the other removes the conflict. Letting Claude arbitrate makes output unstable, and layering another instruction leaves the contradiction in place.",D5 Configuration & Knowledge Management
Which instruction is specific enough to be checkable in an output?,multiple-choice,Answer any questions about the handbook as well as you possibly can.,,Always give the most helpful and complete answer possible.,,"State the conclusion first, then cite the handbook section.",,"Take care to be accurate, especially with important claims.",,,,,,3,"A reader can look at an output and say whether the conclusion came first and whether a section was cited. The other three describe an attitude rather than a requirement, so no output can be judged to have violated them.",D5 Configuration & Knowledge Management
"A newer version of a reference document is uploaded, and the previous version is left in place. What is the likely consequence?",multiple-choice,Answers may draw on either version unpredictably.,,Claude will automatically prefer the newer upload.,,The older document is ignored once a newer one exists.,,"Nothing changes, since duplicates are handled silently.",,,,,,1,"Both documents are legitimate knowledge, so answers may ground on either and the inconsistency is hard to spot. Upload order does not establish authority, and leaving the superseded copy in place is precisely what creates the problem.",D5 Configuration & Knowledge Management
What should a Project's instructions say about questions its documents do not answer?,multiple-choice,Nothing at all; Claude will naturally indicate uncertainty.,,To answer from general knowledge and note the source.,,To give the most probable answer based on the material.,,"To say the material does not settle it, and stop there.",,,,,,4,"Explicitly instructing Claude to declare the gap prevents confident invention at exactly the moments it is most likely. Saying nothing leaves the behaviour undefined, and both ""answer anyway"" options invite the response to drift off the authoritative material.",D5 Configuration & Knowledge Management
