Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Response,Overall Explanation,Domain
A first draft of acceptance letters comes back generic and off-target. What is the most effective next step?,multi-choice,Regenerate using the identical prompt and hope for a better result.,,Switch to a different AI platform.,,"Add the missing audience, tone, format, and constraints, then regenerate.",,Send it as-is — a first draft is good enough.,,,,,,3,Specificity beats length: vague prompts get generic answers. Add audience/purpose/format/constraints before adding more words.,D1 Prompting & Task Execution
"You ask Claude to gather data on five competitors, structure a comparison, and then recommend a strategy for a hospital's care-coordination team. What is the best prompting approach?",multi-choice,"Decompose into ordered steps — gather, structure, recommend — reviewing the output between each step.",,Request the longest possible answer to cover everything at once.,,Ask for the final recommendation in a single line with no other detail.,,Ask the identical question five times in a row.,,,,,,1,"Complex requests should be broken into ordered sub-steps (task decomposition), which improves quality and lets you checkpoint between steps.",D1 Prompting & Task Execution
"For a regional bank's lending team, which is a valid way to run task decomposition on a complex request?",multi-choice,"Sequential prompting — run each step as a separate turn (outline, then draft, then refine), reviewing between turns.",,Requesting the entire multi-step deliverable with no structure and no review.,,Disabling the task by handing it entirely to a different tool.,,Repeating the same single prompt multiple times until it looks different.,,,,,,1,Sequential prompting (separate turns per step) and structured single prompts (enumerated sub-tasks in one prompt) are the two valid decomposition approaches.,D1 Prompting & Task Execution
An e-commerce retailer's marketing team needs Claude to analyze last quarter's promotional pricing sheet and explain the trend. Which prompting approach fits an analysis task?,multi-choice,Request the answer in the fewest words possible with no reasoning shown.,,"Ask for a short, confident answer with no supporting evidence.",,Ask Claude to guess without being given the underlying data.,,"Provide the data/source, and ask for criteria, evidence, and explicit reasoning, requesting that claims cite the source.",,,,,,4,"Analysis tasks should supply the data/source and ask for criteria, evidence, and explicit, citable reasoning.",D1 Prompting & Task Execution
"A university's admissions office wants a deep, multi-source investigation before making a decision. Which prompting approach is most appropriate for this research task?",multi-choice,Ask a single quick chat question and accept the first answer.,,"Define the scope and depth needed, ask for sources/citations, and use research mode for multi-source synthesis.",,Avoid specifying scope so Claude can decide how deep to go.,,Request the shortest possible answer to save time.,,,,,,2,"Research tasks need defined scope/depth, a request for sources, and research mode for multi-source, cited synthesis.",D1 Prompting & Task Execution
A hospital's care-coordination team is brainstorming new ideas for discharge instructions and doesn't yet know the direction to take. What is the best prompting approach for this brainstorming task?,multi-choice,Ask Claude to pick the final option without listing alternatives.,,Constrain the brainstorm to exactly one format before any ideas exist.,,Ask for a single best idea immediately with no alternatives.,,"Ask for quantity and variety first, encouraging divergent options, then narrow down afterward.",,,,,,4,"Brainstorming works best by asking for quantity and variety first (divergent thinking), then converging on the best option afterward.",D1 Prompting & Task Execution
"An output from Claude is weak for a regional bank's lending team. Following the effective iteration loop, what should happen next?",multi-choice,Immediately switch to a completely different AI platform.,,Abandon the task without trying to refine the prompt.,,"Repeat the exact same vague prompt again, hoping for a different result.",,"Diagnose what's off, change one thing, and compare the new output to the old one.",,,,,,4,"The core iteration loop is: diagnose what's off, change one thing, compare — not switching tools or repeating the same vague ask.",D1 Prompting & Task Execution
"While refining a draft for an e-commerce retailer's marketing team, part of the output is strong and part is weak. What is the recommended move?",multi-choice,Pack ten unrelated additional requests into the same prompt to save time.,,Accept the draft as final without any changes.,,"Keep the good parts, and regenerate only the weak part with a specific explanation of what to change and why.",,"Regenerate the entire piece from scratch, discarding the strong parts too.",,,,,,3,"Effective iteration keeps the good material and regenerates only the weak part, telling Claude specifically what to change and why.",D1 Prompting & Task Execution
"Claude drafts a summary for a university's admissions office citing ""a 2024 enrollment report, figure 1.3."" Before sending it to the Dean of Admissions, what is the best action?",multi-choice,Verify the report and figure against the actual source before sharing.,,Ask Claude to rate its own confidence and send it if the rating is high.,,"Reformat it to look more polished, then send it.",,Send it — the citation sounds precise and confident.,,,,,,1,"Specific-looking details (citation numbers, figures, dates) are the highest-risk hallucination signal. Verify against the actual source before sending — confidence and formatting never substitute for verification.",D2 Output Evaluation & Validation
"A colleague at a hospital's care-coordination team asks Claude, ""how confident are you in this answer?"" and plans to trust a high self-reported score. Why is this an unreliable validation method?",multi-choice,"Confidence ratings are only unreliable for numerical claims, never for text.",,A model can be confidently wrong; self-reported confidence is not evidence of accuracy and doesn't verify a claim against an authoritative source.,,Self-reported confidence is a valid check and should always be trusted.,,Asking for a confidence rating is the fastest way to guarantee correctness.,,,,,,2,Self-reported confidence is a classic trap: it is not a validity check. A model can be fluent and confident while being factually wrong.,D2 Output Evaluation & Validation
A regional bank's lending team needs to validate a specific number cited in an output. What is the gold-standard fact-checking technique?,multi-choice,Ask Claude to reformat the number so it looks more official.,,Trust the number because it appears in a confident tone.,,Verify against the actual source of truth — the primary document or system of record.,,Skip verification since re-checking numbers wastes time.,,,,,,3,"Verifying against the actual source of truth (the primary document or system of record) is the gold-standard fact-checking technique, especially for citations and numbers.",D2 Output Evaluation & Validation
An e-commerce retailer's marketing team cannot access the original source document to verify a claim in Claude's output. What is a reasonable alternative validation technique?,multi-choice,Ignore the claim since it cannot be perfectly verified.,,Ask Claude to restate the claim in different words.,,"Cross-check the claim against an independent, reputable source.",,Assume it is correct since it reads fluently.,,,,,,3,"When the primary source isn't available, cross-checking against an independent reputable source is a valid fact-checking technique.",D2 Output Evaluation & Validation
A university's admissions office wants Claude's claims to be easier to verify against three financial-aid reference PDFs. What technique reduces (though doesn't eliminate) the need to double-check every claim?,multi-choice,Ask Claude not to use any sources at all.,,Request a shorter answer so there is less to check.,,Ground the task — give Claude the source material and ask it to cite which part supports each claim.,,Ask Claude to rate its own certainty instead of citing sources.,,,,,,3,"Grounding — supplying source material and requiring citations to specific parts of it — reduces, though doesn't eliminate, the need to verify.",D2 Output Evaluation & Validation
An output for a hospital's care-coordination team contains a multi-step calculation feeding into a total. What validation technique specifically targets this kind of error?,multi-choice,Recompute/re-derive — re-run the calculation and sanity-check totals and units.,,Reformat the number with more decimal places.,,Assume totals are correct if the formatting is clean.,,Ask Claude if the total feels right.,,,,,,1,Recomputing or re-deriving — re-running calculations and sanity-checking totals/units — is the right technique for numeric/calculation errors.,D2 Output Evaluation & Validation
A regional bank's lending team uses research mode to synthesize findings across many sources with citations. What should still happen before the findings are used?,multi-choice,Ask Claude to rate its confidence instead of checking citations.,,Nothing further — research mode's citations are automatically correct.,,"Spot-check the citations, since research mode still requires verification of what it cites.",,Discard the citations because research mode cannot be trusted at all.,,,,,,3,"Research mode enables cited, multi-source synthesis, but you should still spot-check the citations — grounding reduces risk, it doesn't remove the need to verify.",D2 Output Evaluation & Validation
An output for an e-commerce retailer's marketing team will inform a decision with legal and financial consequences and contains specific verifiable figures. What does this scenario require?,multi-choice,"Human review, because the output is high-stakes, involves specific verifiable claims, and will trigger a decision.",,Deleting the draft and starting over from nothing.,,"A faster model to save time, since speed matters more than accuracy here.",,"No review — low-stakes, reversible drafts never need review.",,,,,,1,"Human review is required when output is high-stakes (legal/medical/financial/compliance/public-facing), contains specific verifiable claims, or will trigger an action/decision.",D2 Output Evaluation & Validation
"A university's admissions office produced a substantial, six-page deliverable meant to be edited, kept, and shared. Where should this output be delivered?",multi-choice,"As an artifact, since it's a substantial, self-contained, reusable deliverable.",,As a casual clarifying question.,,As throwaway inline chat text.,,As a one-line acknowledgment.,,,,,,1,"Substantial, self-contained deliverables you'll edit, keep, or share belong in an artifact rather than inline chat text.",D2 Output Evaluation & Validation
"For a hospital's care-coordination team, which two techniques are reliable ways to validate a factual claim in Claude's output? (Choose two.)",multi-choice,Make the wording sound more authoritative.,,Ask Claude how confident it is in the claim.,,"Cross-check it with an independent, reputable source.",,Check it against an authoritative primary source.,,,,,,"3,4",Authoritative-source verification and independent cross-checking are reliable validation techniques; self-reported confidence and confident wording are not evidence of accuracy.,D2 Output Evaluation & Validation
A report for a regional bank's lending team addresses only part of the original request and silently skips an edge case. Which evaluation dimension does this failure fall under?,multi-choice,Relevance/fit — is this the right scope and tone for the audience?,,"Completeness — did it address the whole request, with no silent omissions or unstated assumptions?",,Consistency — does it contradict itself or the source?,,Bias/fairness — are groups or viewpoints represented fairly?,,,,,,2,Completeness asks whether the output addressed the whole request without silent omissions or unstated assumptions.,D2 Output Evaluation & Validation
"An output for an e-commerce retailer's marketing team states one figure in the summary and a different, contradictory figure later in the same document. Which evaluation dimension does this failure fall under?",multi-choice,Completeness — did it address the whole request?,,"Accuracy — verifiable facts, numbers, names, and citations.",,"Relevance/fit — right scope, tone, and reading level for the audience?",,"Consistency — does it contradict itself, the source, or earlier statements?",,,,,,4,"Contradicting itself (or the source, or earlier statements) is a consistency failure, distinct from accuracy, completeness, or fit.",D2 Output Evaluation & Validation
"A university's admissions office reviews an output that describes different customer groups using skewed, unfair language. Which evaluation dimension does this failure fall under?",multi-choice,Accuracy — are the facts and numbers verifiable?,,"Bias/fairness — are groups, options, or viewpoints represented fairly?",,Consistency — does it contradict itself or the source?,,Completeness — did it address the whole request?,,,,,,2,"Bias/fairness evaluates whether groups, options, or viewpoints are represented fairly — a distinct dimension from accuracy or completeness.",D2 Output Evaluation & Validation
"A hospital's care-coordination team must classify 10,000 patient feedback comments by topic; simplicity and speed matter most, and quality requirements are low. Best choice:",multi-choice,Move the entire workload to a different AI vendor.,,Disable model features entirely to cut cost.,,"A faster, lower-cost model (Haiku) suited to high-volume, straightforward work.",,"Opus for every item, to maximize quality regardless of cost.",,,,,,3,"High-volume, simple, latency-sensitive work should prioritize speed and cost — Haiku is built for exactly this.",D3 Product & Model Selection
Which task at a regional bank's lending team most justifies using the most capable (Opus) model?,multi-choice,"Tagging thousands of short items by category, at high volume.",,Nuanced analysis of an ambiguous regulatory-exposure scenario that requires multi-step reasoning.,,"Generating a standard, templated meeting-invite blurb.",,Converting a simple list into a table.,,,,,,2,"Complex, nuanced, high-stakes analysis with multi-step reasoning is exactly what justifies the most capable model.",D3 Product & Model Selection
"An e-commerce retailer's marketing team handles everyday drafting, summarizing, and routine analysis at moderate volume. Which model best balances speed, cost, and capability for this work?",multi-choice,"Haiku, because it is the cheapest option regardless of task fit.",,No model at all — disable the AI feature entirely.,,"Sonnet, which balances speed, cost, and capability for everyday knowledge work.",,"Opus, because more capability is always better regardless of cost.",,,,,,3,"Sonnet is built for balanced, everyday knowledge work — drafting, summarizing, and routine analysis — without paying the Opus cost/latency premium.",D3 Product & Model Selection
"A colleague at a university's admissions office argues Claude should always use the most capable model for every task, no matter how simple. What is the issue with this reasoning?",multi-choice,There is no issue — always using the most capable model is correct.,,Model choice never affects cost or speed.,,"""Always use the most capable model"" wastes cost and latency budget; the model should be matched to the task's hardest requirement instead.",,"The most capable model is always the cheapest, so there's no tradeoff.",,,,,,3,"Both ""always use the most capable model"" and ""always use the cheapest"" are wrong. The skill is matching the model to the task's hardest requirement.",D3 Product & Model Selection
A hospital's care-coordination team runs recurring work that always needs the same shared instructions plus three clinical reference PDFs. Which product feature best fits this need?,multi-choice,Research mode used from a blank context each time.,,An artifact with no reusable configuration.,,"A Project, bundling persistent instructions, knowledge, and (optionally) connectors.",,"Chat, restarted fresh every time.",,,,,,3,"Recurring work with stable context, standards, or reference docs is exactly what a Project is for.",D3 Product & Model Selection
"A regional bank's lending team needs a deep, sourced investigation across many websites and documents before making a recommendation. Which feature best fits?",multi-choice,"Research mode, which gathers and synthesizes across many sources with citations.",,A single quick chat reply with no sourcing.,,"Memory, to recall preferences across sessions.",,An artifact containing no sources.,,,,,,1,"Research mode is built for deep, multi-source investigation with traceable citations.",D3 Product & Model Selection
"A long chat at an e-commerce retailer's marketing team covering a long thread planning a new fulfillment workflow has grown very long, and Claude keeps forgetting earlier decisions. What is the best move?",multi-choice,Keep going and hope the model recovers the earlier context on its own.,,Delete the conversation and abandon the task.,,"Summarize the key decisions so far, then continue (or restart with that summary).",,Switch to a different model mid-thread without addressing the context issue.,,,,,,3,"When a long thread drifts or loses earlier facts, summarize and continue (or restart with a clean, focused context) — restart for a clean slate, summarize to carry a long thread forward, persist when info must survive across sessions.",D3 Product & Model Selection
Which use case represents a strong fit for Claude at a university's admissions office?,multi-choice,Deep API/agentic engineering best escalated to a developer.,,Handling sensitive regulated data against policy.,,"Repetitive, high-volume text work such as drafting, summarizing, and reformatting.",,Final legal or financial decisions with no human review.,,,,,,3,"Repetitive, high-volume text work is a textbook strong fit for Claude — the other options are weak/risky fits or should be escalated.",D4 Workflow Integration & Solution Design
Which use case is a weak or risky fit for Claude at a hospital's care-coordination team?,multi-choice,Final decisions with legal or safety consequences and no review step.,,Synthesis across many documents for a first-pass research summary.,,A task with a human checkpoint before anything ships.,,Brainstorming and restructuring ideas to help a human expert.,,,,,,1,"Final, unreviewed decisions with legal/financial/safety consequences are a weak/risky fit — they need a human checkpoint, which this option lacks.",D4 Workflow Integration & Solution Design
"A regional bank's lending team wants Claude to help draft loan-denial letters, but a person still reviews and sends each one within the existing process. This best describes:",multi-choice,Redesigning — rebuilding the whole process around Claude.,,Replacing the team's system of record.,,Removing all humans from the process.,,Augmenting — Claude assists inside the existing process while a person still owns the final step.,,,,,,4,Augment = Claude assists inside the existing process (the person still sends it). Redesign restructures the process itself around what Claude makes possible.,D4 Workflow Integration & Solution Design
An e-commerce retailer's marketing team is starting to integrate Claude into an existing process. What is the correct first step of a simple integration method?,multi-choice,Pick the most capable model before understanding the workflow.,,"Map the current workflow — its steps, inputs, outputs, handoffs, and pain points.",,Skip straight to measuring results before any pilot exists.,,Immediately automate every step end-to-end with no analysis.,,,,,,2,"The integration method starts by mapping the current workflow before deciding where AI fits, augmenting vs. redesigning, or piloting.",D4 Workflow Integration & Solution Design
